listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2433969,# 410 4825 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-02-25,528000,545000,545000,918,29,2245.3,Freehold Strata,340.46,"Pets Not Allowed, Rentals Not Allowed, Smoking Restrictions",CD
R2449653,# 1002 4688 KINGSWAY,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-04-15,593000,625000,625000,622,5,2531.74,Freehold NonStrata,281.83,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",APT
R2448136,# 305 4625 GRANGE AVENUE,Burnaby,Central Park BS,1,1,Apartment,"Inside Unit, Upper Unit",2020-04-13,403000,428000,428000,739,45,1682.0,Freehold Strata,247.0,"Pets Allowed, Rentals Allowed",RM3
R2459529,# 1505 4505 HAZEL STREET,Burnaby,Forest Glen BS,2,1,Apartment,Corner Unit,2020-06-01,535500,549000,549000,715,22,2138.72,Freehold Strata,258.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2426751,# PH22 5248 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Penthouse,2020-01-10,445000,449900,449900,595,7,2029.07,Freehold Strata,172.55,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2428321,# 218 5248 GRIMMER STREET,Burnaby,Metrotown,2,2,Apartment,Inside Unit,2020-01-31,573000,575000,575000,800,7,2367.16,Freehold Strata,232.16,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2449249,# PH05 5288 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,"Penthouse, Upper Unit",2020-04-24,465000,489000,489000,620,5,2142.1,Freehold Strata,192.54,"Pets Allowed, Rentals Allowed",CD
R2407140,# 312 5211 GRIMMER STREET,Burnaby,Metrotown,2,2,Apartment,"Inside Unit, Upper Unit",2019-12-23,600000,609900,628000,907,11,1778.91,Freehold Strata,382.86,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2444417,# 202 5211 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-03-13,438000,448000,448000,619,11,1980.5,Freehold Strata,265.0,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443949,# 303 5211 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-03-15,460000,438000,438000,645,11,2018.86,Freehold Strata,273.48,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions","CD, C9"
R2434620,# 2101 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Inside Unit,2020-04-29,520000,555000,555000,1085,37,2349.84,Freehold Strata,315.24,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2412518,# 401 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,1 Storey,2019-12-30,463000,479900,499900,1012,37,2003.21,Freehold Strata,293.35,"Pets Allowed with Restrictions, Rentals Not Allowed",STRATA
R2439091,# 405 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-03-12,490000,480000,480000,1057,37,2153.79,Freehold Strata,298.66,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2427129,# 2505 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Upper Unit,2020-02-18,500000,549000,549000,1190,37,2582.79,Freehold Strata,345.99,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2448449,# 3308 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-04-14,565000,588000,588000,548,3,1802.19,Freehold Strata,174.17,"Pets Allowed with Restrictions, Rentals Allowed",APT
